name,run,total_time_sec,
trace_onos_ifwd-MeshTopology2,19,1.133915,
trace_onos_ifwd-MeshTopology2,2,1.14344,
trace_onos_ifwd-MeshTopology2,20,1.141895,
trace_onos_ifwd-MeshTopology2,3,1.152676,
trace_onos_ifwd-MeshTopology2,4,1.131829,
trace_onos_ifwd-MeshTopology2,5,1.150412,
trace_onos_ifwd-MeshTopology2,6,1.163027,
trace_onos_ifwd-MeshTopology2,7,1.143261,
trace_onos_ifwd-MeshTopology2,8,1.154979,
trace_onos_ifwd-MeshTopology2,9,1.13788,
trace_onos_ifwd-BinaryLeafTreeTopology2,1,88.388907,
trace_onos_ifwd-BinaryLeafTreeTopology2,10,87.203366,
trace_onos_ifwd-BinaryLeafTreeTopology2,11,87.422963,
trace_onos_ifwd-BinaryLeafTreeTopology2,12,89.725486,
trace_onos_ifwd-BinaryLeafTreeTopology2,13,88.289084,
trace_onos_ifwd-BinaryLeafTreeTopology2,14,87.066231,
trace_onos_ifwd-BinaryLeafTreeTopology2,15,87.05853,
trace_onos_ifwd-BinaryLeafTreeTopology2,16,89.437505,
trace_onos_ifwd-BinaryLeafTreeTopology2,17,87.279877,
trace_onos_ifwd-BinaryLeafTreeTopology2,18,87.463943,
trace_onos_ifwd-BinaryLeafTreeTopology2,19,87.221349,
trace_onos_ifwd-BinaryLeafTreeTopology2,2,87.191112,
trace_onos_ifwd-BinaryLeafTreeTopology2,20,89.093993,
trace_onos_ifwd-BinaryLeafTreeTopology2,3,87.582412,
trace_onos_ifwd-BinaryLeafTreeTopology2,4,86.801137,
trace_onos_ifwd-BinaryLeafTreeTopology2,5,87.517601,
trace_onos_ifwd-BinaryLeafTreeTopology2,6,92.66006,
trace_onos_ifwd-BinaryLeafTreeTopology2,7,87.79413,
trace_onos_ifwd-BinaryLeafTreeTopology2,8,87.616348,
trace_onos_ifwd-BinaryLeafTreeTopology2,9,87.625888,
trace_floodlight_circuitpusher-StarTopology2,1,0.225586,
trace_floodlight_circuitpusher-StarTopology2,10,0.217505,
trace_floodlight_circuitpusher-StarTopology2,11,0.217769,
trace_floodlight_circuitpusher-StarTopology2,12,0.217149,
trace_floodlight_circuitpusher-StarTopology2,13,0.220908,
trace_floodlight_circuitpusher-StarTopology2,14,0.216925,
trace_floodlight_circuitpusher-StarTopology2,15,0.212636,
trace_floodlight_circuitpusher-StarTopology2,16,0.221695,
trace_floodlight_circuitpusher-StarTopology2,17,0.217723,
trace_floodlight_circuitpusher-StarTopology2,18,0.222177,
trace_floodlight_circuitpusher-StarTopology2,19,0.218018,
trace_floodlight_circuitpusher-StarTopology2,2,0.218015,
trace_floodlight_circuitpusher-StarTopology2,20,0.219714,
